action,timestamp
created file: cabinet-info.csv,2019-05-07 14:49:28.713
added line in file: cabinet-info.csv,2019-05-07 14:49:28.713
added line in file: doctor-info.csv,2019-05-07 14:49:28.76
added line in file: doctor-info.csv,2019-05-07 14:49:28.76
created file: doctor-info.csv,2019-05-07 14:49:28.76
added line in file: doctor-info.csv,2019-05-07 14:49:28.76
added line in file: appointment-info.csv,2019-05-07 14:49:28.869
added line in file: appointment-info.csv,2019-05-07 14:49:28.869
created file: appointment-info.csv,2019-05-07 14:49:28.869
added line in file: appointment-info.csv,2019-05-07 14:49:28.869
