action,timestamp
created file: cabinet-info.csv,2019-05-07 14:50:13.968
added line in file: cabinet-info.csv,2019-05-07 14:50:13.968
added line in file: doctor-info.csv,2019-05-07 14:50:13.999
added line in file: doctor-info.csv,2019-05-07 14:50:13.999
created file: doctor-info.csv,2019-05-07 14:50:13.999
added line in file: doctor-info.csv,2019-05-07 14:50:13.999
added line in file: appointment-info.csv,2019-05-07 14:50:14.124
added line in file: appointment-info.csv,2019-05-07 14:50:14.124
created file: appointment-info.csv,2019-05-07 14:50:14.124
added line in file: appointment-info.csv,2019-05-07 14:50:14.124
